                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93502,                 4.7778,                 1.3477,                0.01832,                0.70786,                0.03306,                0.02693,                0.54976,                 3.6142,                 1.0781,             6.4381e-05,             6.4381e-05,             6.4381e-05
                      2,                0.66258,                 4.2737,                 1.1381,                0.02222,                0.86294,                0.04788,                0.04195,                0.55799,                 3.2444,                 1.0793,             0.00012937,             0.00012937,             0.00012937
                      3,                0.70975,                 3.9146,                 1.1575,                0.32548,                0.16141,                0.09652,                0.07563,                0.74772,                 2.9202,                 1.1834,             0.00012994,             0.00012994,             0.00012994
                      4,                0.68937,                 3.6126,                 1.1458,                0.27134,                0.22434,                0.14325,                0.12334,                0.57773,                 2.5165,                 1.0651,             0.00012987,             0.00012987,             0.00012987
                      5,                0.68369,                 3.3633,                 1.1366,                0.23194,                0.32993,                0.19505,                0.16902,                0.55725,                 2.3331,                 1.0518,             0.00012977,             0.00012977,             0.00012977
                      6,                 0.6819,                 3.1468,                 1.1332,                0.31641,                 0.3679,                0.25882,                0.22505,                 0.5332,                  2.211,                 1.0426,             0.00012964,             0.00012964,             0.00012964
                      7,                0.63087,                 2.9491,                 1.0996,                0.34914,                0.39713,                0.32461,                0.28186,                0.54482,                 1.9999,                 1.0394,             0.00012949,             0.00012949,             0.00012949
                      8,                0.62841,                 2.7626,                  1.091,                0.40095,                0.44846,                0.38064,                0.33053,                0.52569,                 1.9192,                 1.0332,              0.0001293,              0.0001293,              0.0001293
                      9,                0.61575,                 2.5899,                 1.0852,                0.32558,                0.53035,                0.44491,                0.39722,                0.48338,                 1.7523,                0.99855,             0.00012909,             0.00012909,             0.00012909
                     10,                 0.6205,                 2.4745,                 1.0845,                0.40608,                0.54398,                0.48882,                0.43147,                0.48773,                 1.6815,                 1.0066,             0.00012885,             0.00012885,             0.00012885
                     11,                0.59334,                 2.3685,                 1.0769,                0.46926,                0.54773,                0.52553,                0.47131,                0.46653,                 1.5929,                0.99184,             0.00012858,             0.00012858,             0.00012858
                     12,                0.58035,                  2.261,                 1.0608,                0.52908,                0.53778,                 0.5462,                0.48849,                0.48047,                 1.5505,                0.99082,             0.00012828,             0.00012828,             0.00012828
                     13,                 0.5805,                 2.1632,                 1.0574,                0.46193,                0.63361,                0.59629,                0.53316,                0.48302,                 1.4566,                0.98861,             0.00012796,             0.00012796,             0.00012796
                     14,                0.58211,                  2.104,                 1.0646,                0.52428,                0.64346,                0.61702,                0.55653,                0.44971,                 1.3351,                0.98007,             0.00012761,             0.00012761,             0.00012761
                     15,                0.55312,                 1.9788,                  1.048,                0.54321,                 0.6928,                0.65621,                0.58166,                0.50139,                 1.3181,                 1.0044,             0.00012723,             0.00012723,             0.00012723
